[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.391] [SEVERE ] removing player 2 token from slot 7
[17:43:19.392] [SEVERE ] removing player 4 token from slot 7
[17:43:19.392] [SEVERE ] removing player 2 token from slot 5
[17:43:19.392] [SEVERE ] removing player 4 token from slot 5
[17:43:19.393] [SEVERE ] removing player 1 token from slot 7
[17:43:19.393] [SEVERE ] removing player 4 token from slot 5
[17:43:19.393] [SEVERE ] removing player 1 token from slot 4
[17:43:19.394] [SEVERE ] removing player 1 token from slot 10
[17:43:19.395] [SEVERE ] removing player 3 token from slot 7
[17:43:19.395] [SEVERE ] removing player 3 token from slot 8
[17:43:19.396] [SEVERE ] removing player 3 token from slot 5
[17:43:19.398] [SEVERE ] removing player 4 token from slot 10
[17:43:19.398] [SEVERE ] removing player 2 token from slot 3
[17:43:19.400] [SEVERE ] removing player 1 token from slot 7
[17:43:19.399] [SEVERE ] removing player 4 token from slot 7
[17:43:19.401] [SEVERE ] removing player 1 token from slot 10
[17:43:19.401] [SEVERE ] removing player 2 token from slot 5
[17:43:19.402] [SEVERE ] removing player 1 token from slot 3
[17:43:19.402] [SEVERE ] removing player 3 token from slot 5
[17:43:19.401] [SEVERE ] removing player 4 token from slot 9
[17:43:19.402] [SEVERE ] removing player 3 token from slot 9
[17:43:19.402] [SEVERE ] removing player 2 token from slot 2
[17:43:19.403] [SEVERE ] removing player 3 token from slot 5
[17:43:19.409] [SEVERE ] removing player 4 token from slot 5
[17:43:19.409] [SEVERE ] removing player 4 token from slot 8
[17:43:19.410] [SEVERE ] removing player 4 token from slot 10
[17:43:19.410] [SEVERE ] removing player 3 token from slot 6
[17:43:19.409] [SEVERE ] player 1 placing token on slot 1
[17:43:19.411] [SEVERE ] removing player 1 token from slot 8
[17:43:19.412] [SEVERE ] removing player 1 token from slot 0
[17:43:19.409] [SEVERE ] removing player 2 token from slot 11
[17:43:19.414] [SEVERE ] removing player 2 token from slot 7
[17:43:19.410] [SEVERE ] removing player 3 token from slot 3
[17:43:19.417] [SEVERE ] removing player 3 token from slot 7
[17:43:19.415] [SEVERE ] removing player 2 token from slot 1
[17:43:19.418] [SEVERE ] removing player 4 token from slot 3
[17:43:19.419] [SEVERE ] removing player 4 token from slot 5
[17:43:19.419] [SEVERE ] removing player 4 token from slot 4
[17:43:19.422] [SEVERE ] removing player 1 token from slot 6
[17:43:19.422] [SEVERE ] player 1 placing token on slot 0
[17:43:19.422] [SEVERE ] removing player 1 token from slot 3
[17:43:19.423] [SEVERE ] removing player 3 token from slot 5
[17:43:19.423] [SEVERE ] removing player 3 token from slot 10
[17:43:19.423] [SEVERE ] removing player 3 token from slot 3
[17:43:19.425] [SEVERE ] removing player 2 token from slot 9
[17:43:19.425] [SEVERE ] removing player 4 token from slot 7
[17:43:19.425] [SEVERE ] removing player 2 token from slot 7
[17:43:19.425] [SEVERE ] removing player 4 token from slot 5
[17:43:19.426] [SEVERE ] removing player 2 token from slot 9
[17:43:19.426] [SEVERE ] removing player 4 token from slot 4
[17:43:19.427] [SEVERE ] placing card 75 in slot 2
[17:43:19.431] [SEVERE ] removing player 2 token from slot 3
[17:43:19.429] [SEVERE ] removing player 3 token from slot 7
[17:43:19.429] [SEVERE ] removing player 1 token from slot 10
[17:43:19.434] [SEVERE ] removing player 3 token from slot 10
[17:43:19.433] [SEVERE ] removing player 4 token from slot 5
[17:43:19.432] [SEVERE ] removing player 2 token from slot 4
[17:43:19.436] [SEVERE ] player 4 placing token on slot 1
[17:43:19.435] [SEVERE ] removing player 3 token from slot 8
[17:43:19.435] [SEVERE ] removing player 1 token from slot 7
[17:43:19.436] [SEVERE ] removing player 4 token from slot 5
[17:43:19.436] [SEVERE ] removing player 2 token from slot 6
[17:43:19.437] [SEVERE ] removing player 1 token from slot 5
[17:43:19.442] [SEVERE ] removing player 3 token from slot 4
[17:43:19.442] [SEVERE ] removing player 3 token from slot 5
[17:43:19.443] [SEVERE ] removing player 4 token from slot 7
[17:43:19.443] [SEVERE ] player 2 placing token on slot 2
[17:43:19.443] [SEVERE ] removing player 4 token from slot 8
[17:43:19.444] [SEVERE ] removing player 4 token from slot 7
[17:43:19.446] [SEVERE ] removing player 1 token from slot 9
[17:43:19.445] [SEVERE ] removing player 2 token from slot 11
[17:43:19.447] [SEVERE ] removing player 1 token from slot 7
[17:43:19.449] [SEVERE ] removing player 3 token from slot 5
[17:43:19.448] [SEVERE ] removing player 2 token from slot 2
